Localidad:USAQUEN,Votacion:
Gustavo Petro,34571
Promotores Blanco,153
Ivan Duque,114456
Humberto De la Calle,9624
Jorge Trujillo,378
Sergio Fajardo,110844
Viviane Morales,300
German Vargas Lleras,19704
Potencial Votantes,-
Blanco,2793
Nulos,795
No Marcados,80
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_964_0101.pdf
