Localidad:MARTIRES,Votacion:
Gustavo Petro,14297
Promotores Blanco,38
Ivan Duque,16398
Humberto De la Calle,1338
Jorge Trujillo,144
Sergio Fajardo,15377
Viviane Morales,74
German Vargas Lleras,3107
Potencial Votantes,-
Blanco,776
Nulos,313
No Marcados,26
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_977_0101.pdf
