Localidad:ENGATIVA,Votacion:
Gustavo Petro,96544
Promotores Blanco,401
Ivan Duque,104102
Humberto De la Calle,11122
Jorge Trujillo,1599
Sergio Fajardo,165164
Viviane Morales,573
German Vargas Lleras,20689
Potencial Votantes,558593
Blanco,6597
Nulos,2161
No Marcados,122
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_973_0101.pdf
