Localidad:CORFERIAS,Votacion:
Gustavo Petro,25766
Promotores Blanco,174
Ivan Duque,23027
Humberto De la Calle,1621
Jorge Trujillo,197
Sergio Fajardo,39184
Viviane Morales,125
German Vargas Lleras,2703
Potencial Votantes,-
Blanco,1587
Nulos,608
No Marcados,26
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_984_0101.pdf
