Localidad:KENNEDY,Votacion:
Gustavo Petro,146360
Promotores Blanco,540
Ivan Duque,112442
Humberto De la Calle,9779
Jorge Trujillo,1399
Sergio Fajardo,154680
Viviane Morales,702
German Vargas Lleras,18384
Potencial Votantes,648269
Blanco,7478
Nulos,3434
No Marcados,220
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_971_0101.pdf
