Localidad:PUENTE_ARANDA,Votacion:
Gustavo Petro,37361
Promotores Blanco,132
Ivan Duque,41956
Humberto De la Calle,3891
Jorge Trujillo,458
Sergio Fajardo,56213
Viviane Morales,203
German Vargas Lleras,7845
Potencial Votantes,215864
Blanco,2386
Nulos,785
No Marcados,65
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_979_0101.pdf
