Localidad:RAFAEL_URIBE_URIBE,Votacion:
Gustavo Petro,69332
Promotores Blanco,295
Ivan Duque,37703
Humberto De la Calle,3503
Jorge Trujillo,582
Sergio Fajardo,48179
Viviane Morales,288
German Vargas Lleras,6313
Potencial Votantes,-
Blanco,2911
Nulos,1813
No Marcados,116
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_981_0101.pdf
