Localidad:BARRIOS_UNIDOS,Votacion:
Gustavo Petro,19041
Promotores Blanco,88
Ivan Duque,31154
Humberto De la Calle,3406
Jorge Trujillo,322
Sergio Fajardo,38973
Viviane Morales,135
German Vargas Lleras,6450
Potencial Votantes,-
Blanco,1410
Nulos,372
No Marcados,33
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_975_0101.pdf
