Localidad:TUNJUELITO,Votacion:
Gustavo Petro,37204
Promotores Blanco,103
Ivan Duque,23581
Humberto De la Calle,1973
Jorge Trujillo,393
Sergio Fajardo,29033
Viviane Morales,171
German Vargas Lleras,3791
Potencial Votantes,152309
Blanco,1629
Nulos,931
No Marcados,56
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_969_0101.pdf
