Localidad:SUMAPAZ,Votacion:
Gustavo Petro,994
Promotores Blanco,0
Ivan Duque,166
Humberto De la Calle,44
Jorge Trujillo,2
Sergio Fajardo,36
Viviane Morales,2
German Vargas Lleras,28
Potencial Votantes,-
Blanco,14
Nulos,10
No Marcados,3
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_983_0101.pdf
