Localidad:FONTIBON,Votacion:
Gustavo Petro,41217
Promotores Blanco,156
Ivan Duque,46647
Humberto De la Calle,4973
Jorge Trujillo,382
Sergio Fajardo,70681
Viviane Morales,231
German Vargas Lleras,9304
Potencial Votantes,245095
Blanco,2578
Nulos,1154
No Marcados,56
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_972_0101.pdf
