Localidad:CHAPINERO,Votacion:
Gustavo Petro,14595
Promotores Blanco,40
Ivan Duque,37966
Humberto De la Calle,4877
Jorge Trujillo,102
Sergio Fajardo,36914
Viviane Morales,58
German Vargas Lleras,7611
Potencial Votantes,162008
Blanco,837
Nulos,233
No Marcados,24
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_965_0101.pdf
