Localidad:CIUDAD_BOLIVAR,Votacion:
Gustavo Petro,118040
Promotores Blanco,340
Ivan Duque,52252
Humberto De la Calle,3743
Jorge Trujillo,857
Sergio Fajardo,52147
Viviane Morales,555
German Vargas Lleras,6722
Potencial Votantes,395416
Blanco,4386
Nulos,3680
No Marcados,275
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_982_0101.pdf
