Localidad:BOSA,Votacion:
Gustavo Petro,116017
Promotores Blanco,390
Ivan Duque,57553
Humberto De la Calle,4272
Jorge Trujillo,904
Sergio Fajardo,67123
Viviane Morales,536
German Vargas Lleras,7495
Potencial Votantes,-
Blanco,4715
Nulos,3251
No Marcados,205
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_970_0101.pdf
