Localidad:SAN_CRISTOBAL,Votacion:
Gustavo Petro,78389
Promotores Blanco,227
Ivan Duque,32949
Humberto De la Calle,3333
Jorge Trujillo,584
Sergio Fajardo,45947
Viviane Morales,353
German Vargas Lleras,6170
Potencial Votantes,-
Blanco,3093
Nulos,2238
No Marcados,130
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_967_0101.pdf
