Localidad:SANTA_FE,Votacion:
Gustavo Petro,21500
Promotores Blanco,65
Ivan Duque,11168
Humberto De la Calle,1809
Jorge Trujillo,164
Sergio Fajardo,14118
Viviane Morales,67
German Vargas Lleras,2466
Potencial Votantes,-
Blanco,818
Nulos,563
No Marcados,39
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_966_0101.pdf
