Localidad:USME,Votacion:
Gustavo Petro,71227
Promotores Blanco,173
Ivan Duque,28862
Humberto De la Calle,2172
Jorge Trujillo,540
Sergio Fajardo,27662
Viviane Morales,312
German Vargas Lleras,3777
Potencial Votantes,-
Blanco,2434
Nulos,2197
No Marcados,145
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_968_0101.pdf
