Localidad:TEUSAQUILLO,Votacion:
Gustavo Petro,21937
Promotores Blanco,74
Ivan Duque,31706
Humberto De la Calle,5286
Jorge Trujillo,137
Sergio Fajardo,45629
Viviane Morales,93
German Vargas Lleras,8080
Potencial Votantes,-
Blanco,1167
Nulos,219
No Marcados,20
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_976_0101.pdf
