Localidad:CANDELARIA,Votacion:
Gustavo Petro,10493
Promotores Blanco,32
Ivan Duque,5346
Humberto De la Calle,953
Jorge Trujillo,64
Sergio Fajardo,6701
Viviane Morales,35
German Vargas Lleras,1425
Potencial Votantes,42861
Blanco,433
Nulos,197
No Marcados,16
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_980_0101.pdf
