Localidad:CARCELES,Votacion:
Gustavo Petro,346
Promotores Blanco,2
Ivan Duque,127
Humberto De la Calle,15
Jorge Trujillo,3
Sergio Fajardo,204
Viviane Morales,1
German Vargas Lleras,17
Potencial Votantes,1212
Blanco,17
Nulos,13
No Marcados,2
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_985_0101.pdf
