Localidad:SUBA,Votacion:
Gustavo Petro,103163
Promotores Blanco,397
Ivan Duque,160250
Humberto De la Calle,13900
Jorge Trujillo,1295
Sergio Fajardo,195023
Viviane Morales,586
German Vargas Lleras,27211
Potencial Votantes,-
Blanco,6712
Nulos,2438
No Marcados,206
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_974_0101.pdf
