Localidad:ANTONIO_NARINO,Votacion:
Gustavo Petro,21561
Promotores Blanco,81
Ivan Duque,19933
Humberto De la Calle,1767
Jorge Trujillo,190
Sergio Fajardo,24645
Viviane Morales,92
German Vargas Lleras,3392
Potencial Votantes,
Blanco,1096
Nulos,453
No Marcados,20
Referencia:,https://publicacion.procesoselectorales.com/docs_divulgacion/16/001/PRE/E26//E26_PRE_3_16_001_XXX_XX_XX_XXX_X_978_0101.pdf
